"ethnicity_variable_label_8levels","Mean_Age","SD_Age"
"Asian British: East Asian and Others",75.6383561643836,7.3507239050189
"Asian British: South Asian",75.1038904109589,8.85852123387177
"Black British: African",80.5885844748858,3.39267362346884
"Black British: Caribbean and Others",75.0095418044402,9.88059917441277
"Missing",79.8738543531665,7.72595432796146
"Mixed/Multiple ethnic groups",80.089802130898,7.21507219127381
"Other ethnic group",79.6446183953033,7.09991516379043
"White",78.3645639214917,8.07697113311137
"White: Any other White background",79.1536810850935,7.0019304022675
