"Variable","Coefficient","HR","CI_lower","CI_upper","p_value"
"ethnicity_variable_label_8levelsAsian British: East Asian and Others",-0.180678470908397,0.834703697075659,0.473315352527172,1.47202126064942,0.532490096498794
"ethnicity_variable_label_8levelsAsian British: South Asian",-0.0114840098045032,0.988581679735854,0.874554213295177,1.11747644988992,0.854283838683783
"ethnicity_variable_label_8levelsBlack British: African",0.390296192757469,1.47741832969098,0.662990685538754,3.29230103607436,0.339745583938278
"ethnicity_variable_label_8levelsBlack British: Caribbean and Others",-0.100036824603271,0.904804098370511,0.61500227627547,1.33116654687206,0.61157397395302
"ethnicity_variable_label_8levelsMissing",0.0962872901287859,1.1010753466375,1.04061837546161,1.16504469607804,0.000832319674694204
"ethnicity_variable_label_8levelsMixed/Multiple ethnic groups",-0.00553828667295225,0.994477021363548,0.625727445044516,1.58053566908793,0.981307836234351
"ethnicity_variable_label_8levelsOther ethnic group",-0.0049873414712189,0.995025074666508,0.577260160417248,1.71512771381877,0.98567627174112
"ethnicity_variable_label_8levelsWhite: Any other White background",-0.0100245573730653,0.990025521024577,0.859014726695204,1.14101714652881,0.889909648598252
"gender_variable_value",-0.164585535631148,0.848245198652789,0.807936572055384,0.890564856108761,3.45527275258908e-11
"imd",-0.00493498281365656,0.995077174207577,0.987244859932422,1.00297162620499,0.22094779926936
